Region,CBSA Code,Pop Density,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
TX-Austin Suburban,12420,217.33,"136,134","140,585","149,455","160,805","174,916","187,135","200,344","211,507","224,315","240,833","239,408","246,883","252,608","259,703","270,249","282,404","295,032","303,237","313,170","314,258","328,802","341,306","352,975","368,966","384,925","401,445","417,264","439,108"
TX-Austin Urban,12420,"1,034.40","318,591","327,734","346,538","366,733","386,927","404,744","414,024","423,041","436,822","453,127","477,302","471,949","460,978","459,021","467,543","479,587","494,371","510,019","514,368","510,814","536,660","556,184","578,608","599,088","617,152","632,174","657,085","677,830"
OH-Cleveland,17460,"1,128.32","981,976","973,234","970,987","976,133","993,740","1,008,788","1,021,200","1,038,970","1,046,597","1,055,279","1,060,860","1,060,640","1,038,940","1,033,642","1,024,825","1,023,398","1,033,532","1,035,112","1,020,192","972,456","964,124","964,195","967,623","965,534","972,736","974,113","973,932","972,745"
OH-Cleveland Suburban,17460,418.67,"227,853","227,650","229,215","231,770","238,396","243,204","249,431","256,558","260,183","265,273","271,964","274,529","272,476","275,421","276,449","279,869","288,409","291,241","289,713","279,780","269,957","271,525","273,356","273,994","277,437","278,757","278,743","279,842"
OH-Cleveland Urban,17460,"2,192.80","754,123","745,584","741,772","744,363","755,344","765,584","771,769","782,412","786,414","790,006","788,896","786,111","766,464","758,221","748,376","743,529","745,123","743,871","730,479","692,676","694,167","692,670","694,267","691,540","695,299","695,356","695,189","692,903"
OH-Columbus,18140,"1,292.65","756,777","754,937","764,459","772,150","791,353","808,739","817,017","833,571","845,148","863,676","878,811","892,223","890,353","889,990","893,877","903,747","926,274","942,570","939,378","907,990","913,879","925,017","939,034","951,201","976,428","994,095","1,007,934","1,032,981"
OH-Columbus Suburban,18140,169.43,"136,518","135,352","136,913","138,901","142,890","145,776","147,343","147,656","147,689","150,101","159,287","160,879","160,189","159,774","160,523","162,477","166,251","166,825","165,315","158,455","163,418","164,134","165,225","165,629","168,547","169,943","172,321","175,266"
OH-Columbus Urban,18140,"2,977.48","620,259","619,585","627,546","633,249","648,463","662,963","669,674","685,915","697,459","713,575","719,524","731,344","730,164","730,216","733,354","741,270","760,023","775,745","774,063","749,535","750,461","760,883","773,809","785,572","807,881","824,152","835,613","857,715"
IN-Indianapolis,26900,850.68,"725,962","720,201","729,831","761,450","796,816","818,999","822,782","836,088","845,835","851,625","856,281","865,197","870,100","884,370","883,290","893,669","912,886","916,390","919,708","877,987","859,399","874,288","886,087","905,808","936,021","966,438","995,254","1,006,461"
IN-Indianapolis Suburban,26900,390.87,"191,180","189,460","193,029","202,118","213,049","219,889","221,505","226,079","229,614","232,397","230,007","232,544","235,327","239,745","240,471","244,148","248,953","247,348","248,868","238,043","233,658","236,963","238,954","243,648","251,388","259,394","267,065","270,042"
IN-Indianapolis Urban,26900,"1,655.35","534,782","530,741","536,802","559,332","583,767","599,110","601,277","610,009","616,221","619,228","626,274","632,653","634,773","644,625","642,819","649,521","663,933","669,042","670,840","639,944","625,741","637,325","647,133","662,160","684,633","707,044","728,189","736,419"
CA-San Jose,41940,710.4,"836,942","811,756","807,414","807,663","817,487","837,250","880,840","924,795","944,960","952,655","938,039","916,794","836,970","796,852","791,652","794,572","807,206","826,146","839,053","803,776","853,805","876,605","907,918","934,800","967,193","994,900","1,015,679","1,035,695"
CA-San Jose Suburban,41940,39.8,"18,391","17,821","18,119","18,698","19,192","19,786","21,794","23,203","23,352","24,100","25,822","25,697","23,954","22,974","22,682","22,526","22,433","22,269","22,435","21,392","23,691","24,179","24,936","25,698","26,502","27,090","27,774","28,552"
CA-San Jose Urban,41940,"1,381.00","818,551","793,935","789,295","788,965","798,295","817,464","859,046","901,592","921,608","928,555","912,217","891,097","813,016","773,878","768,970","772,046","784,773","803,877","816,618","782,384","830,114","852,426","882,982","909,102","940,691","967,810","987,905","1,007,143"
TN-Nashville,34980,260.77,"559,432","556,805","567,589","597,789","633,699","655,264","669,701","681,292","704,008","720,785","723,790","725,712","728,793","729,380","730,581","744,286","785,439","800,750","791,744","763,508","802,407","826,637","843,204","851,136","868,352","897,664","935,713","982,239"
TN-Nashville Suburban,34980,185.19,"294,326","297,104","305,667","325,679","349,415","364,195","376,424","386,493","404,604","420,243","424,820","429,529","436,072","439,805","444,028","456,026","486,198","487,821","485,395","469,180","487,938","502,925","511,745","517,455","529,472","548,989","572,210","604,785"
TN-Nashville Urban,34980,"1,243.30","265,106","259,701","261,922","272,110","284,284","291,069","293,277","294,799","299,404","300,542","298,970","296,183","292,721","289,575","286,553","288,260","299,241","312,929","306,349","294,328","314,469","323,712","331,459","333,681","338,880","348,675","363,503","377,454"
VA-Virginia Beach,47260,"1,245.99","652,267","665,486","675,399","673,366","682,578","690,881","689,265","701,802","717,331","720,966","709,104","720,552","730,220","735,598","743,738","760,770","775,834","787,986","792,418","760,676","770,605","778,241","781,750","789,996","797,424","792,173","796,400","813,384"
